folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Harmonized/Polysomnography/Sleep Architecture,nsrr_waso_f1,Wake After Sleep Onset: the total duration being awake between sleep onset and lights-on/out-bed time from polysomnography,Harmonized by the NSRR team. Source: :psg_waso :,numeric,minutes (min),,ttldurws_f1t1;waso,,TRUE,
Harmonized/Polysomnography/Sleep Architecture,nsrr_ttleffsp_f1,"Sleep Efficiency: the ratio of total sleep duration (i.e., total sleep time) to in-bed period (i.e., time in bed) from polysomnography",Harmonized by the NSRR team. Source: :psg_se :,numeric,percent (%),,ttleffsp_f1t1,,TRUE,
Harmonized/Polysomnography/Sleep Architecture,nsrr_ttllatsp_f1,Sleep Latency: the interval between lights-out/in-bed time and sleep onset from polysomnography,Harmonized by the NSRR team. Source: :psg_sol :,integer,minutes (min),,ttllatsp_f1t1,,TRUE,
Harmonized/Polysomnography/Sleep Architecture,nsrr_pctdursp_s1,"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 1 from polysomnography",Harmonized by the NSRR team. Source: :n1perc:,numeric,percent (%),,pctdursp_s1_f1t1,,TRUE,
Harmonized/Polysomnography/Sleep Architecture,nsrr_pctdursp_s2,"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 2 from polysomnography",Harmonized by the NSRR team. Source: :n2perc:,numeric,percent (%),,pctdursp_s2_f1t1,,TRUE,
Harmonized/Polysomnography/Sleep Architecture,nsrr_pctdursp_s3,"Percentage of total sleep duration (i.e., total sleep time, TST) in stage 3/4 from polysomnography",Harmonized by the NSRR team. Source: :n3perc:,numeric,percent (%),,pctdursp_s3_f1t1,,TRUE,
Harmonized/Polysomnography/Sleep Architecture,nsrr_pctdursp_sr,"Percentage of total sleep duration (i.e., total sleep time, TST) in REM from polysomnography",Harmonized by the NSRR team. Source: :remperc:,numeric,percent (%),,pctdursp_sr_f1t1,,TRUE,
Harmonized/Polysomnography/Sleep Architecture,nsrr_ttldursp_sr,Total duration of REM sleep from type I polysomnography,Harmonized by the NSRR team. Source: :rem_duration:,numeric,minutes (mins),,ttldursp_sr_f1t1,,TRUE,
Harmonized/Polysomnography/Arousal,nsrr_phrnumar_f1,Arousal Index: Number of arousals per hour of sleep from polysomnography,Harmonized by the NSRR team. Source: :arousalIndex:,numeric,number of events per hour,,phrnumar_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_ahi_hp3r_aasm07,Apnea-Hypopnea Index : (All apneas + hypopneas with >=50% nasal cannula [or alternative sensor] reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep,"Harmonized by the NSRR team. <br><br>The definition of hypopnea events is consistent with the American Academy of Sleep Medicine (AASM) 2007 Manual (pediatric). [Iber C et al. The AASM manual for the scoring of sleep and associated events: rules, terminology and technical specifications. Vol. 1. Westchester, IL: American Academy of Sleep Medicine, 2007]<br><br>Refer to the source for detailed definition for respiratory events: :ahi_obahi:",numeric,number of events per hour,,ahi_ap0uhp5x3r_f1t1,,TRUE,
