folder,domain_id,value,display_name,description
,sex,1,Male,
,sex,2,Female,
,race,1,Caucasian,
,race,2,Asian,
,race,3,African American,
,race,4,Other,
,group,0,Control,
,group,1,Clinical,
,group,2,Other,
,ssri,0,no SSRI,
,ssri,1,yes SSRI,
,rem,0,No,
,rem,1,Yes,
